                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.90652,                 1.7448,                0.81054,                0.99184,                0.79756,                0.64613,                0.74836,                0.55987,                0.78775,                0.62578,                0.72219,                0.48396,                0.79996,                 1.6016,                0.73473,                0.95889,               0.001783,               0.001783,               0.001783
                     86,                0.91018,                 1.7517,                0.80904,                0.99093,                0.79589,                0.64786,                0.74852,                0.56013,                0.79023,                0.62442,                0.72216,                0.48389,                0.79962,                 1.6016,                0.73487,                0.95861,               0.001684,               0.001684,               0.001684
                     87,                0.91015,                 1.7534,                0.80863,                0.98975,                0.79751,                0.64691,                 0.7487,                0.56032,                0.78822,                0.62584,                0.72203,                0.48403,                0.79945,                 1.6016,                0.73466,                 0.9584,               0.001585,               0.001585,               0.001585
                     88,                 0.9033,                 1.7457,                0.80148,                0.98838,                0.79591,                 0.6482,                0.74889,                0.56071,                0.79052,                0.62439,                0.72187,                0.48409,                0.79895,                 1.6018,                0.73468,                0.95802,               0.001486,               0.001486,               0.001486
                     89,                 0.8989,                 1.7322,                0.79979,                0.98793,                0.79785,                0.64715,                0.74886,                0.56069,                0.79072,                 0.6252,                0.72203,                0.48407,                0.79877,                 1.6019,                0.73474,                0.95785,               0.001387,               0.001387,               0.001387
                     90,                0.90363,                 1.7414,                0.79733,                0.98485,                0.79776,                0.64759,                0.74903,                0.56086,                0.79236,                0.62436,                0.72188,                0.48411,                0.79827,                 1.6015,                0.73483,                0.95737,               0.001288,               0.001288,               0.001288
                     91,                0.91685,                 1.7442,                0.78225,                0.97821,                 0.7971,                0.64834,                0.74929,                0.56125,                0.79241,                 0.6249,                0.72203,                0.48423,                0.79752,                 1.6008,                0.73469,                  0.957,               0.001189,               0.001189,               0.001189
                     92,                0.91195,                 1.7358,                0.77188,                0.97459,                0.79698,                0.64895,                0.74941,                0.56155,                0.79246,                0.62483,                0.72242,                0.48449,                0.79723,                 1.6004,                0.73518,                 0.9567,                0.00109,                0.00109,                0.00109
                     93,                0.91154,                 1.7289,                0.77039,                0.97291,                0.80003,                0.64722,                0.74956,                0.56179,                0.79343,                0.62347,                0.72223,                0.48471,                0.79667,                 1.5997,                0.73549,                0.95628,               0.000991,               0.000991,               0.000991
                     94,                0.89466,                 1.7012,                0.75974,                0.96812,                0.80131,                0.64634,                 0.7499,                0.56217,                0.79253,                0.62393,                0.72218,                0.48494,                0.79608,                 1.5989,                0.73566,                0.95602,               0.000892,               0.000892,               0.000892
                     95,                0.89675,                 1.7083,                0.75476,                0.96637,                0.80065,                0.64681,                0.74991,                0.56251,                0.79356,                0.62367,                0.72252,                0.48526,                0.79532,                 1.5985,                0.73578,                0.95553,               0.000793,               0.000793,               0.000793
                     96,                0.89526,                 1.7042,                0.75188,                0.96438,                0.80143,                0.64593,                 0.7501,                0.56299,                0.79292,                0.62436,                0.72269,                0.48512,                0.79491,                 1.5976,                0.73576,                0.95525,               0.000694,               0.000694,               0.000694
                     97,                0.88875,                 1.6875,                0.74232,                0.96352,                0.80232,                 0.6463,                0.75058,                0.56321,                0.79307,                0.62467,                0.72295,                0.48532,                0.79427,                 1.5971,                0.73578,                0.95479,               0.000595,               0.000595,               0.000595
                     98,                0.88386,                 1.6813,                0.73933,                0.95945,                0.80261,                0.64657,                0.75086,                0.56358,                0.79438,                0.62449,                0.72308,                0.48554,                0.79407,                 1.5964,                0.73555,                0.95457,               0.000496,               0.000496,               0.000496
                     99,                0.87791,                 1.6733,                0.73531,                0.95816,                0.80232,                0.64708,                0.75116,                0.56393,                0.79532,                0.62432,                0.72355,                0.48595,                0.79391,                  1.595,                0.73532,                0.95435,               0.000397,               0.000397,               0.000397
                    100,                0.87723,                 1.6701,                0.73016,                0.95691,                 0.8016,                0.64695,                0.75124,                0.56433,                0.79569,                0.62436,                0.72378,                 0.4863,                0.79358,                 1.5941,                0.73498,                0.95388,               0.000298,               0.000298,               0.000298
